Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,63,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"sortNowToolStripMenuItem.Text = ""Sort Now"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,62,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"sortNowToolStripMenuItem.Size = new Size(123, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,62,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"sortNowToolStripMenuItem.Size = new Size(123, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,61,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"sortNowToolStripMenuItem.Name = ""sortNowToolStripMenuItem"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,61,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"sortNowToolStripMenuItem.Name = ""sortNowToolStripMenuItem"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,57,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,exitToolStripMenuItem.Click += exitToolStripMenuItem_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,57,12,E:System.Windows.Forms.ToolStripItem.Click,,,,,exitToolStripMenuItem.Click += exitToolStripMenuItem_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,56,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"exitToolStripMenuItem.Text = ""Exit"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,56,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"exitToolStripMenuItem.Text = ""Exit"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,55,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"exitToolStripMenuItem.Size = new Size(123, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,55,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"exitToolStripMenuItem.Size = new Size(123, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,54,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"exitToolStripMenuItem.Name = ""exitToolStripMenuItem"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,54,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"exitToolStripMenuItem.Name = ""exitToolStripMenuItem"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,50,12,T:System.Windows.Forms.ContextMenuStrip,,,,,"trayOptions.Size = new Size(124, 48);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,50,12,P:System.Windows.Forms.Control.Size,,,,,"trayOptions.Size = new Size(124, 48);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,49,12,T:System.Windows.Forms.ContextMenuStrip,,,,,"trayOptions.Name = ""trayOptions"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,49,12,P:System.Windows.Forms.Control.Name,,,,,"trayOptions.Name = ""trayOptions"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,48,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"trayOptions.Items.AddRange(new ToolStripItem[] { exitToolStripMenuItem, sortNowToolStripMenuItem });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,48,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"trayOptions.Items.AddRange(new ToolStripItem[] { exitToolStripMenuItem, sortNowToolStripMenuItem });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,48,12,T:System.Windows.Forms.ContextMenuStrip,,,,,"trayOptions.Items.AddRange(new ToolStripItem[] { exitToolStripMenuItem, sortNowToolStripMenuItem });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,48,12,T:System.Windows.Forms.ToolStripItemCollection,,,,,"trayOptions.Items.AddRange(new ToolStripItem[] { exitToolStripMenuItem, sortNowToolStripMenuItem });"
